identity_key,company,title,location,country,first_seen,last_seen,status,repost_count
"alcon / wavelight gmbh|principal embedded software engineer, qnx (m/f/d) – medical devices|erlangen, germany|germany","Alcon / WaveLight GmbH","Principal Embedded Software Engineer, QNX (m/f/d) – Medical Devices","Erlangen, Germany","Germany","2026-09-20","2026-09-24","excluded","0"
"ottobock se & co. kgaa|mechatronics development engineer - embedded systems (d/w/m)|duderstadt, germany|germany","Ottobock SE & Co. KGaA","Mechatronics Development Engineer - Embedded Systems (d/w/m)","Duderstadt, Germany","Germany","2026-09-20","2026-09-24","excluded","0"
"fresenius health services|medizintechniker (m/w/d)|überlingen / schwarzwald-bodensee, germany|germany","Fresenius Health Services","Medizintechniker (m/w/d)","Überlingen / Schwarzwald-Bodensee, Germany","Germany","2026-09-21","2026-09-24","excluded","0"
"b. braun group|trainee design for excellence (m/w/d)|germany|germany","B. Braun Group","Trainee Design for Excellence (m/w/d)","Germany","Germany","2026-09-21","2026-09-24","excluded","0"
"stryker|internship biomechanical simulation & medical device development – 6 months | start spring 2027|schönkirchen, germany|germany","Stryker","Internship Biomechanical Simulation & Medical Device Development – 6 Months | Start Spring 2027","Schönkirchen, Germany","Germany","2026-09-21","2026-09-24","excluded","0"
"stryker|internship biomedical engineering, medical imaging & 3d bone analysis (6 months, spring 2027)|schönkirchen, germany|germany","Stryker","Internship Biomedical Engineering, Medical Imaging & 3D Bone Analysis (6 Months, Spring 2027)","Schönkirchen, Germany","Germany","2026-09-21","2026-09-24","excluded","0"
"kth royal institute of technology|phd student — medical imaging of childbirth-related pelvic floor injuries|stockholm, sweden|sweden","KTH Royal Institute of Technology","PhD student — Medical Imaging of Childbirth-Related Pelvic Floor Injuries","Stockholm, Sweden","Sweden","2026-09-03","2026-09-26","closed","0"
"eth zurich|phd position on engineering of machine perfusion platforms for organ and tissue culture|zurich, switzerland|switzerland","ETH Zurich","PhD position on engineering of machine perfusion platforms for organ and tissue culture","Zurich, Switzerland","Switzerland","2026-09-26","2026-09-26","provisional","0"
"eth zurich|doctoral position in lower-field cardiac magnetic resonance imaging|zurich, switzerland|switzerland","ETH Zurich","Doctoral Position in Lower-Field Cardiac Magnetic Resonance Imaging","Zurich, Switzerland","Switzerland","2026-09-26","2026-09-26","provisional","0"
"lake lucerne institute|phd position movement biomarkers in stroke recovery|viznau, switzerland|switzerland","Lake Lucerne Institute","PhD Position Movement Biomarkers in Stroke Recovery","Vitznau, Switzerland","Switzerland","2026-09-26","2026-09-26","provisional","0"
